"Lon","Lat","distanza_cumulata","Localita_Originale"
13.375,45.646,2.96287643194449,"Grado"
13.125,45.646,2.67778533996149,"Lignano Sabbiadoro"
13.042,45.604,2.57738837034182,"Bibione"
12.917,45.604,2.45238837034182,"Caorle"
12.625,45.479,2.10830600325187,"Lido di Jesolo"
12.375,45.396,1.82421491126888,"Lido di Venezia"
12.333,45.229,1.63952078890555,"Sottomarina (Chioggia)"
12.375,44.271,0.27717366491631,"Milano Marittima"
12.375,44.271,0.27717366491631,"Cervia"
12.417,44.229,0.217776695296633,"Cesenatico"
12.583,44.104,0,"Rimini"
