"Lon","Lat","Localita_Originale"
13.375,45.646,"Grado"
13.125,45.646,"Lignano Sabbiadoro"
13.625,45.729,"Sistiana (Duino-Aurisina)"
13.542,45.729,"Marina Julia (Monfalcone)"
13.042,45.604,"Bibione"
12.917,45.604,"Caorle"
12.75,45.521,"Eraclea Mare"
12.625,45.479,"Lido di Jesolo"
12.5,45.438,"Cavallino-Treporti"
12.375,45.396,"Lido di Venezia"
12.333,45.229,"Sottomarina (Chioggia)"
12.375,45.104,"Rosolina Mare"
12.375,45.104,"Isola di Albarella"
12.417,45.063,"Porto Levante"
12.417,45.063,"Boccasette"
12.5,44.854,"Barricata (Porto Tolle)"
12.292,44.771,"Lido di Volano"
12.292,44.729,"Lido delle Nazioni"
12.292,44.729,"Lido di Pomposa"
12.292,44.729,"Lido degli Scacchi"
12.292,44.688,"Porto Garibaldi"
12.292,44.646,"Lido degli Estensi"
12.292,44.646,"Lido di Spina"
12.292,44.563,"Casal Borsetti"
12.292,44.521,"Marina Romea"
12.292,44.479,"Marina di Ravenna"
12.292,44.479,"Punta Marina"
12.333,44.396,"Lido Adriano"
12.333,44.396,"Lido di Dante"
12.333,44.354,"Lido di Classe"
12.375,44.313,"Lido di Savio"
12.375,44.271,"Milano Marittima"
12.375,44.271,"Cervia"
12.375,44.271,"Pinarella"
12.417,44.229,"Cesenatico"
12.458,44.188,"Gatteo a Mare"
12.458,44.188,"San Mauro Mare"
12.5,44.146,"Bellaria-Igea Marina"
12.583,44.104,"Rimini"
